Time,Cluster1_Intensity,Cluster1_NormalForce,Cluster1_ShearForce_x,Cluster1_ShearForce_y,Cluster2_Intensity,Cluster2_NormalForce,Cluster2_ShearForce_x,Cluster2_ShearForce_y,shear1_forcex,shear1_forcey,shear2_forcex,shear2_forcey
31.7,28453,0.9253086,0.255507496,-0.948767785,114274,1.24984676,0.423363535,-1.270090605,0.182138593,-0.605704234,0.174351025,-0.931672515
31.8,32041,0.9475542,0.492657837,-0.80079332,104951,1.24561504,0.418785688,-1.256357064,0.275294366,-0.66423096,0.247681528,-1.029078017
31.9,44252,1.0232624,0.20547092,-1.175241312,88692,1.27514768,0.351193769,-1.409991857,0.254347332,-0.817534065,0.278735231,-1.143352282
32.1,46760,1.038812,0,-1.265776035,85108,1.28051872,0.15167947,-1.519104622,0.178043133,-0.952006656,0.240618476,-1.256078062
32.2,52171,1.0723602,0.682343078,-0.852964097,79973,1.29948352,0.880742705,-0.880742705,0.329333116,-0.922293888,0.432655838,-1.1434774
32.4,59197,1.1159214,0.568389881,-0.440802051,78913,1.34003432,0.747478663,-0.610449589,0.401050146,-0.777846337,0.527102717,-0.983569003
32.5,56993,1.1022566,0.668057774,0,82313,1.33602552,0.809740886,0,0.481152434,-0.544492436,0.611894188,-0.688498232
32.7,55066,1.0903092,0.661173333,0,83401,1.32716804,0.884939556,0,0.535158704,-0.381144705,0.693807812,-0.481948728
32.8,49037,1.0529294,1.040431848,0.161511769,81833,1.28533512,1.058765313,0.535613662,0.686740647,-0.218347763,0.803295075,-0.176679976
33,49010,1.052762,0.588571154,1.300452102,81709,1.28481556,0.705729812,1.627651497,0.657289799,0.237292197,0.774025494,0.36461951
33.1,46937,1.0399094,0.834087131,0.901855972,90898,1.29805972,0.999367434,1.08725674,0.710328999,0.436661329,0.84162808,0.581410691
33.3,43543,1.0188666,1.17832616,0.31085309,99380,1.3011058,1.548178609,0.387044652,0.850728147,0.398918857,1.053593247,0.523100877
33.4,40130,0.997706,1.175152339,0.308259181,107190,1.3021256,1.523714328,0.474745429,0.948055405,0.371720954,1.194629575,0.508594242
33.6,36376,0.9744312,1.019983337,0.56969372,115247,1.30173268,1.316292322,0.777213602,0.969633784,0.431112784,1.2311284,0.589180052
33.8,41709,1.0074958,1.272008822,0.458298151,133250,1.3859258,1.721350394,0.574664161,1.060346296,0.439268394,1.378195,0.584825285
33.9,42424,1.0119288,1.109801823,0.196992286,138170,1.4043316,1.552295232,0,1.075182954,0.366585562,1.43042507,0.409377697
34.1,64276,1.1474112,1.166119425,0.304836214,124240,1.5002528,1.163291766,0.500255206,1.102463895,0.348060757,1.350285078,0.43664095
34.2,60484,1.1239008,0.313774481,1.080735193,125049,1.47903996,0.503319609,1.466084884,0.865857071,0.567863088,1.096195436,0.745474132
34.4,62990,1.139438,0.620335459,-0.508759317,130351,1.50963484,0.951671926,-0.516439519,0.792200587,0.244876367,1.052838383,0.366900035
34.6,63475,1.142445,0.915702836,0.363249325,134645,1.5248368,1.242158406,0.364422172,0.829251262,0.280388254,1.10963439,0.366156676
34.7,66826,1.1632212,1.015097608,-0.273198827,138121,1.55548484,1.244870622,-0.622435311,0.885005166,0.11431213,1.15020526,0.06957908
34.9,65706,1.1562772,0,0,137748,1.54748152,1.166547638,-0.292505201,0.619503616,0.080018491,1.155107973,-0.039046205
35,65821,1.1569902,0.096113635,0.881826188,141576,1.55906604,0.25676654,1.177894575,0.462486622,0.3205608,0.885605543,0.32603603
