Time,Cluster1_Intensity,Cluster1_NormalForce,Cluster1_ShearForce_x,Cluster1_ShearForce_y,Cluster2_Intensity,Cluster2_NormalForce,Cluster2_ShearForce_x,Cluster2_ShearForce_y,shear1_forcex,shear1_forcey,shear2_forcex,shear2_forcey
17.3,72415,1.297421753,0.912939202,-1.369408803,,,,,0.737980351,-0.964723178,,
17.4,74883,1.315674391,0.834247263,-1.197158607,,,,,0.766860425,-1.034453806,,
17.6,77608,1.335580529,0.850006624,-0.720672836,,,,,0.791804284,-0.940319515,,
17.7,88110,1.409958316,0,0,,,,,0.554262999,-0.658223661,,
17.8,85905,1.394641993,1.08271379,-0.723901527,,,,,0.712798236,-0.677927021,,
18,85163,1.389452728,0.656358037,-1.312716074,,,,,0.695866177,-0.868363737,,
18.1,84036,1.381536668,0.799189888,-1.68436208,,,,,0.72686329,-1.11316324,,
18.2,81885,1.366312234,0.551414846,-1.319029333,,,,,0.674228757,-1.174923068,,
18.4,83925,1.380754758,0.814349926,-0.521374908,,,,,0.716265108,-0.97885862,,
18.5,82503,1.370701998,0.465387983,-1.305336891,,,,,0.64100197,-1.076802101,,
18.7,78625,1.342944186,0,0,,,,,0.448701379,-0.753761471,,
18.8,76215,1.325436788,0.812107689,0.353522489,,,,,0.557723272,-0.421576283,,
19,71174,1.288162073,0.5722891,-0.686338298,,,,,0.56209302,-0.501004887,,
19.1,69495,1.275546308,0.098087762,1.258098816,,,,,0.422891443,0.026726224,,
19.2,68747,1.269893106,0.873267138,0.15689411,,,,,0.558004151,0.06577659,,
19.4,67290,1.258822844,0.778248179,0.74088031,,,,,0.62407736,0.268307706,,
19.5,70043,1.27967508,-0.699168571,0.907487546,,,,,0.22710358,0.460061658,,
19.7,75477,1.320035521,1.005691795,-0.141098639,,,,,0.460680045,0.279713569,,
19.8,74959,1.316233067,-0.43318179,-0.458344949,,,,,0.192521494,0.058296013,,
20,75049,1.316894397,-0.480752095,1.117483985,,,,,-0.009460582,0.376052405,,
20.1,74421,1.312273876,1.369166818,0.58199312,,,,,0.404127638,0.437834619,,
20.2,74620,1.313739516,0,-0.681785789,,,,,0.282889346,0.101948497,,
20.4,75705,1.321706225,-0.155337859,0.862080538,,,,,0.151421185,0.329988109,,
20.5,76774,1.32951543,0,0,,,,,0.105994829,0.230991676,,
20.7,77526,1.334985261,0,0,,,,,0.074196381,0.161694174,,
20.8,71444,1.290181352,-0.640494134,0.760705665,,,,,-0.140210774,0.341397621,,
20.9,65786,1.24731357,-0.532959701,0.943620848,,,,,-0.258035452,0.522064589,,
21.1,64851,1.240116238,-0.477919103,0.652324163,,,,,-0.324000547,0.561142461,,
21.2,58789,1.192651745,0.774752636,0.286314438,,,,,0.005625408,0.478694054,,
21.3,51823,1.0702026,0.628228697,0.639717714,,,,,0.192406394,0.527001152,,
21.5,50962,1.0648644,0.742596228,-0.638502672,7353,1.08574692,0.651024026,-0.757158909,0.357463345,0.177350005,0.651024026,-0.757158909
21.6,53028,1.0776736,-0.447042651,0.197955113,20832,1.13683648,-0.853767272,-0.62029736,0.116111546,0.183531537,-0.234147326,-0.676652115
21.7,45612,1.0316944,-0.936239827,-1.328667366,38645,1.1414462,-1.023457955,-1.507605693,-0.199593866,-0.270128134,-0.594563138,-1.056082973
21.9,50600,1.06262,-0.531314234,-0.391314434,43124,1.18509216,-0.774288149,-0.373456135,-0.299109976,-0.306484024,-0.665516557,-0.786589551
22,51382,1.0674684,-0.744041895,0.432006597,44632,1.19422328,-0.982932727,0.431544832,-0.432589552,-0.084936838,-0.779979133,-0.347321446
22.2,45788,1.0327856,-0.616447133,-0.12385607,60672,1.20509408,-0.88881027,0.334259627,-0.487746826,-0.096612607,-0.816981801,-0.115583371
22.3,44711,1.0261082,-0.862700864,0.780880104,47024,1.15965636,-0.998351496,0.808979069,-0.600233038,0.166635206,-0.876275828,0.186677874
22.4,44854,1.0269948,0,0,45087,1.15504188,-0.689222805,-0.553497493,-0.420163126,0.116644644,-0.816727053,-0.048958716
22.5,43336,1.0175832,-0.745998241,-0.126691498,27524,1.09575136,-0.620353077,0.319086594,-0.517913661,0.043643802,-0.755337573,0.066097823
