Time,intensity1,intensity2,intensity3,intensity4,force1,force2,force3,force4
22.1,1280,3253,3417,93291,1.04072524,1.04735452,1.04790556,1.3498822
22.2,1643,3123,3471,96602,1.05216324,1.05713604,1.05830532,1.37122548
22.3,2208,2856,3663,99454,1.06355292,1.0657302,1.06844172,1.39029948
22.4,1592,2562,3391,97879,1.05365328,1.05691248,1.05969792,1.3771776
22.4,2480,2581,3885,98981,1.06374548,1.06408484,1.06846628,1.38798884
22.5,3735,2822,7085,109863,1.1122038,1.10913612,1.1234598,1.46879388
22.6,3812,3311,7988,115722,1.13327404,1.13159068,1.1473054,1.50929164
22.7,6640,4708,13270,139174,1.23637968,1.22988816,1.25865648,1.68169392
22.8,7639,6265,14011,141438,1.25552956,1.25091292,1.27693948,1.7050942
22.9,11241,10678,15505,153100,1.32775792,1.32586624,1.34208496,1.80440416
23,19350,19159,20455,168087,1.45874084,1.45809908,1.46245364,1.95849716
23.1,20610,20890,21209,171408,1.48304188,1.48398268,1.48505452,1.98972316
23.3,29871,34774,27916,194313,1.66398872,1.6804628,1.65741992,2.21651384
23.4,37519,44575,32355,200021,1.76805864,1.7917668,1.7507076,2.31406536
23.6,43686,50020,34639,204095,1.83981456,1.8610968,1.80941664,2.3787888
23.7,49098,61309,38702,214629,1.9468852,1.98791416,1.91195464,2.50306936
23.9,54250,78167,43558,244609,2.12563856,2.20599968,2.08971344,2.7652448
24.1,56029,81491,46452,253496,2.17956656,2.26511888,2.14738784,2.84305568
24.3,55915,89772,47730,268589,2.24887144,2.36263096,2.22136984,2.96345608
24.5,54166,94076,48632,271776,2.26186376,2.39596136,2.24326952,2.99303336
24.7,55711,101941,49418,272514,2.29810752,2.45344032,2.27696304,3.0265656
24.9,119202,51205,47040,275699,2.54995336,2.32148344,2.30748904,3.07578328
25.2,146619,57823,39065,271867,2.705202,2.40684744,2.34382056,3.12603528
25.4,66543,154539,37336,260184,2.44531416,2.74098072,2.34717864,3.09594792
25.6,65715,142760,32832,246865,2.35611088,2.61498208,2.245624,2.96477488
25.8,38456,75210,23867,224320,1.90577468,2.02926812,1.85675564,2.53027772
26,28695,55702,21242,215511,1.7573812,1.84812472,1.73233912,2.38508296
26.1,23323,41285,19720,204814,1.64842856,1.70878088,1.63632248,2.25823832
26.3,19233,32003,17470,193408,1.55792664,1.60083384,1.55200296,2.14315464
26.4,14223,20782,14829,173131,1.42990988,1.45194812,1.43194604,1.96384076
26.6,12366,16068,13659,161689,1.36919064,1.38162936,1.37353512,1.87091592
26.7,11148,12547,13232,154668,1.33048708,1.33518772,1.33748932,1.81271428
26.8,10288,11783,13158,150740,1.31161964,1.31664284,1.32126284,1.78353836
26.9,9463,8018,11851,140387,1.26269764,1.25784244,1.27072132,1.70260228
27,8487,6062,10400,129990,1.21744308,1.20929508,1.22387076,1.62569316
27.1,8346,5027,9931,123796,1.19470656,1.18355472,1.20003216,1.58261856
27.2,6762,3463,7659,107930,1.12893208,1.11784744,1.131946,1.46885656
27.3,6551,3005,6898,103876,1.11264856,1.100734,1.11381448,1.43966056
27.4,6111,2640,4858,93778,1.07441204,1.06274948,1.07020196,1.36897316
27.4,5756,2562,4596,91166,1.06382736,1.05309552,1.05992976,1.35080496
27.5,3835,2328,3171,85711,1.0317134,1.02664988,1.02948236,1.30681676
27.6,2693,2331,2779,83904,1.01839636,1.01718004,1.01868532,1.29126532
27.6,812,2480,2427,75660,0.98274468,0.98834916,0.98817108,1.23423396
27.7,569,2465,2173,73213,0.97352464,0.9798952,0.97891408,1.21760848
27.8,523,2031,1922,72254,0.96857048,0.97363736,0.97327112,1.20958664
27.8,510,2014,1824,69783,0.96114564,0.96619908,0.96556068,1.19390292
